placekey,location_name,lat,lon,top_category,sub_category,borough,income_known_devices,income_mixing_score,expected_mixing_score,mixing_residual_z,balance_score,expected_balance_score,balance_residual_z,bootstrap_stability_pct,months_confirmed,evidence_tier,direction
zzz-222@627-vvv-2p9,Wilpon,40.631209,-74.182317,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Staten Island,310,0.9508,0.9198,0.512,0.7823,0.7086,0.786,,0,none,
zzz-223@627-s87-r8v,P S 66q,40.697944,-73.846418,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Queens,187,0.8248,0.8856,-1.311,0.5775,0.691,-1.618,,0,none,
223-224@627-s85-tqf,American Hero Restaurant,40.657394,-73.889548,Amusement Parks and Arcades,Amusement and Theme Parks,Brooklyn,426,0.9404,0.9374,0.054,0.7582,0.7723,-0.249,,0,none,
225-222@627-s7r-4vz,La Canoa Restaurant,40.704599,-73.908034,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,127,0.9052,0.887,0.396,0.7028,0.687,0.244,,0,none,
225-223@627-s6g-pjv,628 Morris Food,40.819096,-73.921808,Grocery Stores,,Bronx,155,0.6665,0.6567,0.125,0.4435,0.4472,-0.044,,0,none,
226-223@627-rzx-99f,Korean Noodle House,40.759734,-73.772583,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,177,0.9111,0.8811,0.65,0.7514,0.68,1.045,,0,none,
227-222@627-s8y-rp9,Bed-Stuy Fish Fry,40.682508,-73.963174,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,107,0.9621,0.942,0.547,0.8271,0.822,0.046,,0,none,
227-223@627-s84-qpv,Chubby Burger,40.67959,-73.885358,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,122,0.9244,0.9165,0.193,0.7766,0.7638,0.165,,0,none,
228-222@627-vty-4d9,Healthy Keepers,40.632548,-74.137524,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Staten Island,169,0.9742,0.9138,1.022,0.8491,0.662,2.075,,0,none,
228-222@627-wbt-sh5,Fresh&co.,40.755025,-73.998583,Specialty Food Stores,All Other Specialty Food Stores,Manhattan,59,0.9853,0.9498,0.964,0.9025,0.8075,1.327,,0,none,
zzy-229@627-s7w-rp9,Yummy Fried Chicken & Pizza,40.792319,-73.821272,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,86,0.8509,0.8674,-0.355,0.6395,0.6582,-0.252,,0,none,
zzz-222@627-wh3-nyv,Thomas Greene Playground,40.68028,-73.985252,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,368,0.9525,0.9683,-0.494,0.7948,0.85,-0.88,,0,none,
223-222@627-wh4-hyv,One-Stop Grocery Shop,40.642823,-73.973327,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Brooklyn,889,0.9645,0.9522,0.323,0.8093,0.8008,0.099,,0,none,
zzz-222@627-wc8-xbk,Catherine Slip Malls,40.709497,-73.996127,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Manhattan,1186,0.9992,0.9657,0.912,0.9762,0.8588,1.63,,0,none,
228-222@627-s8r-5xq,Taco Bell,40.762756,-73.985538,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,288,0.9906,0.9857,0.182,0.9097,0.8973,0.211,,0,none,
228-224@627-s4n-j9z,Lenox Hill Cafeteria,40.773662,-73.960877,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,110,0.9897,0.9347,1.459,0.8977,0.7719,1.744,,0,none,
22c-225@627-wg5-qs5,Florencia,40.612243,-73.944328,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,214,0.9704,0.9356,0.975,0.8213,0.7709,0.741,,0,none,
22f-222@627-s7x-2p9,El Conquistador,40.749744,-73.899117,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,148,0.8372,0.887,-1.073,0.6301,0.6895,-0.839,,0,none,
22h-222@627-wg6-9mk,Domino's Pizza,40.621545,-73.936068,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,217,0.9728,0.9359,1.036,0.871,0.7736,1.463,,0,none,
22h-223@627-s7r-3dv,Garlic To the Chicken,40.705042,-73.902186,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,149,0.8813,0.8873,-0.128,0.6678,0.6854,-0.237,,0,none,
22f-23c@627-wbz-rc5,Spa 88 Restaurant,40.709114,-74.005804,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,64,0.9919,0.9675,0.679,0.918,0.8426,1.061,,0,none,
zzz-223@627-wgz-vzz,I S 187,40.628008,-74.003581,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,811,0.9464,0.9426,0.076,0.7679,0.7594,0.098,,0,none,
222-222@627-wf7-wc5,Met Foodmarkets,40.598771,-74.082328,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Staten Island,51,0.9194,0.7721,2.529,0.7402,0.5467,2.147,,0,none,
237-222@627-s96-6p9,Diner,40.710649,-73.965642,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,63,0.994,0.9431,1.444,0.9246,0.7965,1.934,,0,none,
zzw-222@627-s8x-rx5,Asia Dog,40.687464,-73.968898,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,428,0.9952,0.9692,0.718,0.9276,0.8469,1.206,,0,none,
zzy-222@627-s6f-mff,Evelina Antonetty Playground,40.8175,-73.928306,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Bronx,252,0.7958,0.7106,1.114,0.5476,0.5162,0.376,,0,none,
22c-224@627-sb2-kxq,Black Shirt Caterers,40.725723,-73.818185,Special Food Services,,Queens,151,0.8861,0.8782,0.172,0.7136,0.6776,0.534,,0,none,
zzy-227@627-sb7-wrk,Brooklyn Harvest,40.773745,-73.92853,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,155,0.9634,0.9225,0.888,0.7984,0.7455,0.778,,0,none,
225-223@627-s9g-8y9,Cai Pau Grocery,40.747019,-73.828635,Grocery Stores,,Queens,182,0.9581,0.9221,0.78,0.7953,0.7663,0.434,,0,none,
zzy-22b@627-s9s-bzf,Red Top Jerk Grill,40.697928,-73.794564,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,90,0.9575,0.8768,1.747,0.8194,0.6609,2.299,,0,none,
22q-224@627-wfz-sdv,Tropical Paradise Restaurant Bakery On Ave D,40.639098,-73.92878,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Brooklyn,117,0.9624,0.9258,1.027,0.8483,0.7531,1.429,,0,none,
22s-223@627-s7k-gkz,Lechoneria New York,40.732813,-73.895679,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,123,0.8114,0.8823,-1.529,0.5915,0.6861,-1.346,,0,none,
zzy-25c@627-wbz-snq,Harry B Helmsley Plaza,40.713822,-73.991561,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Manhattan,82,0.9635,0.9567,0.229,0.7988,0.8172,-0.206,,0,none,
222-222@627-s4n-6c5,Pick A Bagel,40.773676,-73.959627,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,458,0.9894,0.9686,0.588,0.8968,0.8455,0.736,,0,none,
22x-222@627-s8z-j7q,Golden Krust Caribbean Bakery and Grill,40.663689,-73.951161,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,331,0.9411,0.9595,-0.567,0.7863,0.8304,-0.71,,0,none,
zzw-223@627-wff-x3q,Good Wok,40.616808,-74.073494,Restaurants and Other Eating Places,Full-Service Restaurants,Staten Island,114,0.9815,0.9223,1.0,0.875,0.7627,1.225,,0,none,
22j-225@627-s69-kzz,F & A Deli Grocery,40.842474,-73.923118,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Bronx,115,0.6823,0.6608,0.279,0.4239,0.4385,-0.176,,0,none,
222-223@627-s7v-jsq,Annadale Playground,40.731121,-73.85183,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Queens,416,0.9053,0.9078,-0.052,0.7404,0.7104,0.448,,0,none,
zzy-222@627-wc7-8gk,Cheong Fun Cart,40.717706,-73.996225,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,106,0.9886,0.9829,0.202,0.8892,0.8833,0.122,,0,none,
228-226@627-wg6-xbk,560 Grocery Food,40.652869,-73.920497,Grocery Stores,,Brooklyn,494,0.9575,0.9441,0.353,0.8036,0.7839,0.271,,0,none,
224-223@627-s9t-fpv,Holiday World,40.714957,-73.831301,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,542,0.9314,0.9447,-0.284,0.762,0.7803,-0.247,,0,none,
22h-222@627-wh2-kmk,Metro Gourmet,40.670632,-73.988808,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Brooklyn,490,0.9862,0.9712,0.4,0.8827,0.8525,0.431,,0,none,
22j-222@627-wgz-dy9,Bay Ridge Cafe,40.635284,-74.023464,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,256,0.9424,0.9313,0.287,0.7676,0.7468,0.286,,0,none,
225-222@627-s4s-nyv,Chokolat Patisserie & Culture Tea Bar,40.813116,-73.960677,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Manhattan,270,0.9346,0.9446,-0.2,0.7315,0.8093,-1.009,,0,none,
225-223@627-s6f-zfz,Exper Ss Deli,40.818581,-73.938021,Grocery Stores,,Manhattan,116,0.7806,0.8715,-2.264,0.5194,0.6692,-1.982,,0,none,
22k-226@627-wdm-mx5,Dollar Tree,40.621117,-73.987802,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,170,0.899,0.9271,-0.852,0.6838,0.7303,-0.747,,0,none,
22p-222@627-wc7-mx5,Grandaisy Bakery,40.72014,-74.006091,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Manhattan,101,0.9652,0.9711,-0.094,0.8069,0.8475,-0.506,,0,none,
235-222@627-s8y-35z,The Bakery on Bergen,40.678471,-73.964361,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,76,0.986,0.9511,0.978,0.8783,0.8043,1.104,,0,none,
23b-222@627-s8x-hbk,Popeyes Louisiana Kitchen,40.676654,-73.922138,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,510,0.965,0.9479,0.463,0.8309,0.7932,0.546,,0,none,
23n-223@627-wgt-vfz,Maapis,40.648369,-74.007369,Used Merchandise Stores,Used Merchandise Stores,Brooklyn,89,0.9278,0.9386,-0.348,0.7135,0.7863,-1.15,,0,none,
229-222@627-s8t-zcq,Domino's Pizza,40.680184,-73.942157,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,58,0.987,0.9437,1.221,0.8879,0.7915,1.448,,0,none,
22j-225@627-s95-s89,Green & Ackerman's Pizza,40.706639,-73.958771,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,880,0.9716,0.9673,0.089,0.8381,0.8405,-0.07,,0,none,
zzz-222@627-w9f-yy9,Davis Playground,40.642302,-74.085671,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Staten Island,107,0.9759,0.8945,1.385,0.8575,0.7082,1.645,,0,none,
222-22b@627-s4n-skf,Luigi's Pizzeria,40.778396,-73.948478,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,115,0.9435,0.9321,0.346,0.7826,0.7694,0.221,,0,none,
22g-222@627-rz3-8qf,Al Nar Hookah Lounge,40.752224,-73.702498,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,149,0.9135,0.8719,0.901,0.7265,0.6869,0.587,,0,none,
22h-223@627-s96-xyv,Lion's Milk,40.715884,-73.955765,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Brooklyn,125,0.9648,0.9438,0.574,0.84,0.7898,0.738,,0,none,
22m-223@627-s9x-6p9,One-Stop Grocery Shop,40.722387,-73.802523,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,209,0.9347,0.8823,1.135,0.7751,0.6824,1.352,,0,none,
22v-222@627-s92-cyv,Imperial Bikers M C,40.676101,-73.956249,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Brooklyn,94,0.9462,0.9518,-0.195,0.766,0.8094,-0.7,,0,none,
zzz-222@627-s4v-4qf,East River Playground,40.789293,-73.93802,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Manhattan,396,0.9428,0.9193,0.655,0.7771,0.7581,0.299,,0,none,
23b-223@627-wh2-435,Jing Way,40.636437,-74.011561,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,195,0.9175,0.9286,-0.358,0.7051,0.7381,-0.539,,0,none,
zzw-222@627-s8g-y9z,The Exley,40.716131,-73.951543,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Brooklyn,457,0.9689,0.9716,-0.113,0.8419,0.8562,-0.251,,0,none,
225-223@627-s95-fmk,Wilsons Deli Grill,40.694994,-73.915935,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,156,0.9579,0.9368,0.579,0.8381,0.7778,0.894,,0,none,
225-227@627-wc7-3qz,Bloomingdale's,40.72214,-73.99923,Department Stores,Department Stores,Manhattan,130,0.9812,0.974,0.242,0.875,0.857,0.286,,0,none,
227-222@627-wdk-7nq,Bionic Bagel Corporation,40.592681,-73.940182,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,175,0.9197,0.9294,-0.317,0.7286,0.7497,-0.357,,0,none,
22x-225@627-s9y-6zf,786 Peri Peri Grill,40.709096,-73.778477,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,220,0.906,0.8794,0.578,0.6989,0.6695,0.439,,0,none,
239-222@627-rw6-t35,Latin Fusion Restaurant,40.865677,-73.863934,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,151,0.8902,0.8459,0.576,0.697,0.6456,0.616,,0,none,
244-222@627-sb9-rzf,All Hy Group,40.758654,-73.923999,Restaurants and Other Eating Places,Restaurants and Other Eating Places,Queens,119,0.8865,0.8889,-0.048,0.6597,0.6786,-0.255,,0,none,
zzw-223@627-vsn-xt9,Burger King,40.543261,-74.163829,Restaurants and Other Eating Places,Limited-Service Restaurants,Staten Island,1092,0.7277,0.7902,-1.109,0.5224,0.6222,-1.183,,0,none,
27g-224@627-s8m-b6k,Wonder,40.717981,-73.964665,Restaurants and Other Eating Places,,Brooklyn,135,0.9384,0.9479,-0.31,0.75,0.8061,-0.895,,0,none,
zzw-222@627-sb9-vmk,Gaspar's Deli,40.766198,-73.908518,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,122,0.8454,0.8859,-0.873,0.623,0.6723,-0.694,,0,none,
zzy-222@627-s6m-7t9,Cabrini Park Washington Heights City of New York,40.858353,-73.934003,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Manhattan,129,0.9678,0.9417,0.724,0.8391,0.7817,0.818,,0,none,
zzy-227@627-rw9-9fz,2855 Convenience,40.870536,-73.891051,Grocery Stores,Convenience Stores,Bronx,195,0.6807,0.7587,-1.027,0.4295,0.5437,-1.369,,0,none,
zzy-229@627-s7t-s5z,Taco Place,40.728892,-73.863282,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,194,0.892,0.891,0.024,0.6804,0.6883,-0.096,,0,none,
222-24x@627-rwf-xwk,Starbucks,40.864965,-73.826143,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Bronx,490,0.9495,0.8623,1.14,0.8061,0.6788,1.526,,0,none,
223-222@627-s4n-p35,Ptisserie Vanessa,40.781591,-73.954247,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Manhattan,141,0.9624,0.9394,0.644,0.8156,0.7724,0.626,,0,none,
223-222@627-s98-z4v,YWCA,40.758108,-73.818716,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Queens,340,0.9414,0.9223,0.416,0.7831,0.7661,0.261,,0,none,
zzy-225@627-s9z-mzf,5 Burro Cafe,40.725664,-73.820633,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,53,0.9178,0.8708,1.018,0.7453,0.6783,0.981,,0,none,
22t-222@627-s25-swk,Oriental Star Kitchen,40.700435,-73.763732,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,66,0.8293,0.8706,-0.89,0.553,0.6721,-1.698,,0,none,
22v-223@627-s9v-52k,DJ Mike,40.689445,-73.820332,Performing Arts Companies,Musical Groups and Artists,Queens,1159,0.9031,0.9341,-0.667,0.706,0.7542,-0.678,,0,none,
233-222@627-s9g-3dv,Asian Ace Archery,40.753684,-73.831418,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Queens,110,0.9171,0.9155,0.037,0.7386,0.7406,-0.012,,0,none,
22c-225@627-s6k-sqz,Family Deli Grocery,40.848119,-73.889107,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Bronx,357,0.6478,0.702,-0.715,0.4181,0.4758,-0.693,,0,none,
22d-223@627-wgz-tsq,To Date Japanese Food,40.637342,-74.008477,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,69,0.9382,0.921,0.463,0.7754,0.7401,0.509,,0,none,
22v-222@627-s87-zcq,Schmidt's Confectionery,40.694258,-73.850803,Specialty Food Stores,Confectionery and Nut Stores,Queens,84,0.8504,0.8796,-0.629,0.6637,0.6842,-0.279,,0,none,
224-226@627-s8p-syv,Vert Frais,40.748872,-73.942384,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,79,0.9458,0.956,-0.219,0.8006,0.8108,-0.13,,0,none,
226-224@627-wh3-nyv,Mitu580,40.679171,-73.985781,"Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities",Brooklyn,61,0.9809,0.9465,0.963,0.8648,0.7963,1.018,,0,none,
zzz-222@627-s6g-vj9,Brigadier General Charles Young Triangle,40.827194,-73.93578,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Manhattan,1778,0.9542,0.937,0.495,0.785,0.7519,0.491,,0,none,
zzz-222@627-s2b-psq,Nakks Malls,40.708208,-73.742826,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Queens,152,0.902,0.8776,0.53,0.7467,0.6778,1.008,,0,none,
228-223@627-s82-2hq,Jassar Deli,40.676256,-73.863686,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,398,0.9638,0.9395,0.672,0.8329,0.7924,0.59,,0,none,
222-222@627-s8f-ygk,Blend on the Water,40.747982,-73.957077,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,362,0.9746,0.966,0.188,0.8522,0.8384,0.216,,0,none,
233-223@627-wgv-68v,Xochil Pizzeria,40.646956,-74.008178,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,73,0.9152,0.9468,-0.953,0.7123,0.7983,-1.353,,0,none,
224-222@627-s8h-zcq,The Winslow,40.732751,-73.985217,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,125,0.9238,0.9694,-1.106,0.7,0.844,-1.903,,0,none,
zzy-225@627-s86-vzz,Hv Llc,40.686127,-73.847646,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,775,0.9449,0.9238,0.456,0.7726,0.7348,0.561,,0,none,
zzy-223@627-wc7-26k,sweetgreen,40.74084,-73.98727,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,127,0.9907,0.9778,0.386,0.9094,0.8657,0.633,,0,none,
229-222@627-vsy-nwk,Jg Mac Nyc Llc,40.546215,-74.200247,Restaurants and Other Eating Places,,Staten Island,158,0.5213,0.7412,-3.839,0.3402,0.5332,-2.241,,0,none,
22s-224@627-wh4-vj9,Flaming Grill & Buffet,40.646671,-73.957347,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,474,0.9395,0.9447,-0.188,0.7722,0.799,-0.444,,0,none,
22v-222@627-s8t-v4v,416 Inlet Market,40.686347,-73.941781,Grocery Stores,,Brooklyn,203,0.9894,0.9563,0.928,0.9027,0.8198,1.242,,0,none,
zzy-223@627-vvf-ty9,Uncle Louie G,40.569884,-74.144605,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Staten Island,567,0.7737,0.7447,0.478,0.5675,0.5278,0.4,,0,none,
zzz-222@627-s84-xdv,Ps 72 Annette P Goldman,40.668902,-73.879045,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,217,0.9334,0.9163,0.462,0.7627,0.7283,0.496,,0,none,
zzz-222@627-s9g-4sq,Turtle Playground,40.742148,-73.827499,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,Queens,1610,0.9483,0.9293,0.413,0.7857,0.7522,0.499,,0,none,
222-222@627-s88-ghq,Starbucks,40.671679,-73.833741,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,86,0.9566,0.8676,1.924,0.8198,0.6573,2.356,,0,none,
zzy-229@627-wd8-y7q,LotStop,40.5972,-73.985442,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,828,0.9367,0.9461,-0.308,0.7361,0.7774,-0.667,,0,none,
222-223@627-rwv-9zz,Capelli Xpress,40.847302,-73.834992,Personal Care Services,Beauty Salons,Bronx,50,0.9149,0.8825,0.42,0.8,0.717,0.993,,0,none,
222-224@627-wgz-tn5,Lily Bloom Inc.,40.637289,-74.007475,Restaurants and Other Eating Places,,Brooklyn,132,0.9722,0.9269,1.278,0.8371,0.7415,1.436,,0,none,
223-222@627-s9m-brk,Tozzarella,40.781207,-73.84576,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,79,0.9065,0.8788,0.599,0.7057,0.6895,0.25,,0,none,
224-223@627-wc7-sbk,The Boroughs Golf Club,40.725054,-73.996784,Other Amusement and Recreation Industries,Golf Courses and Country Clubs,Manhattan,1235,0.9923,0.984,0.268,0.9221,0.9001,0.339,,0,none,
224-223@627-wg6-zpv,Bklyn Melons Plus,40.652347,-73.923224,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Brooklyn,386,0.9318,0.941,-0.304,0.7429,0.7755,-0.533,,0,none,
224-223@627-wgt-xnq,Gran Villa Restaurant,40.653381,-74.009108,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,1331,0.9757,0.965,0.274,0.8586,0.8479,0.131,,0,none,
224-225@627-s8x-j7q,Ma Lillit,40.680784,-73.928794,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,61,0.9465,0.9307,0.423,0.8074,0.7584,0.719,,0,none,
225-222@627-s7w-y9z,US Supermarket,40.74157,-73.881505,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,524,0.8765,0.9111,-0.745,0.6579,0.7121,-0.764,,0,none,
225-222@627-wc8-4gk,Charlie Bird,40.727776,-74.002835,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,146,0.98,0.9744,0.197,0.8579,0.8583,0.037,,0,none,
225-222@627-wdc-g6k,Zee Deli & Grill Corp,40.580671,-73.966681,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Brooklyn,371,0.9215,0.9614,-1.193,0.7662,0.8302,-1.016,,0,none,
zzy-223@627-vtz-y5f,7-Eleven,40.627038,-74.165846,Grocery Stores,Convenience Stores,Staten Island,484,0.9102,0.88,0.498,0.704,0.7046,-0.056,,0,none,
224-222@627-wbv-hqz,Baluchi's,40.755514,-73.994508,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,74,0.9493,0.963,-0.294,0.8209,0.8375,-0.181,,0,none,
225-222@627-s2b-t5f,Dunkin',40.714995,-73.748823,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,310,0.8871,0.883,0.091,0.6573,0.6695,-0.16,,0,none,
225-222@627-s86-mhq,Sophia Foods Inc,40.660505,-73.876149,Specialty Food Stores,All Other Specialty Food Stores,Brooklyn,105,0.8988,0.9244,-0.779,0.7143,0.751,-0.597,,0,none,
zzy-225@627-s84-vs5,United Community Center,40.66546,-73.886884,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Brooklyn,101,0.8912,0.8959,-0.172,0.7203,0.694,0.372,,0,none,
zzy-226@627-s4n-fpv,Central Park Boathouse,40.771047,-73.964258,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Manhattan,569,0.9748,0.972,0.129,0.8519,0.8589,-0.052,,0,none,
22t-226@627-s8j-kxq,Lan Larb Chiang Mai,40.745326,-73.975726,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,92,0.9372,0.9505,-0.284,0.7717,0.8082,-0.45,,0,none,
22w-223@627-s8j-3kf,Vivi Bubble Tea,40.73269,-73.986114,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Manhattan,54,0.9913,0.9598,0.86,0.9167,0.8216,1.328,,0,none,
234-222@627-wdk-rzf,C & C Catering Service,40.611659,-73.997295,Special Food Services,Caterers,Brooklyn,192,0.9563,0.9271,0.812,0.8255,0.7318,1.407,,0,none,
zzw-227@627-wc7-4d9,Altro Paradiso,40.725408,-74.004701,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,130,0.9564,0.9721,-0.345,0.7885,0.8507,-0.799,,0,none,
zzz-222@627-rzt-p35,Nassau Mall,40.7648,-73.724736,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,Queens,1428,0.9318,0.9306,0.027,0.7547,0.7496,0.091,,0,none,
zzy-23k@627-sb9-j5f,Salvatoria Kitchen & Bar,40.761428,-73.924521,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,115,0.9251,0.8851,0.867,0.7283,0.6884,0.591,,0,none,
225-222@627-s7x-4vz,Wendy's,40.754183,-73.896852,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,426,0.9325,0.9157,0.366,0.7612,0.7009,0.884,,0,none,
227-224@627-s8x-9pv,Gs Deli N Grocery,40.67111,-73.910795,Grocery Stores,Convenience Stores,Brooklyn,243,0.8849,0.8971,-0.389,0.7315,0.7004,0.445,,0,none,
22v-222@627-s4n-vvf,The Drunken Munkey - UES,40.780985,-73.947568,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Manhattan,51,0.9702,0.9217,1.294,0.8431,0.7522,1.271,,0,none,
23j-223@627-wd9-975,Tacos Mi Ranchito Brooklyn,40.599162,-73.989751,Special Food Services,Mobile Food Services,Brooklyn,142,0.9368,0.9289,0.194,0.7342,0.7383,-0.096,,0,none,
238-225@627-s7s-kpv,Ramirez Little Acatlan,40.743333,-73.873734,Specialty Food Stores,,Queens,75,0.8585,0.871,-0.268,0.65,0.6697,-0.268,,0,none,
22d-226@627-s6j-ty9,Tequila & Mezcal,40.827266,-73.886411,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Bronx,1083,0.7559,0.8264,-0.929,0.5201,0.6067,-1.038,,0,none,
zzy-222@627-vv3-s89,Dunkin',40.611794,-74.157841,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Staten Island,80,0.7118,0.8568,-2.539,0.5312,0.6789,-1.727,,0,none,
228-225@627-wff-d35,DII Deals & Discounts,40.621617,-74.028461,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,440,0.9599,0.9386,0.584,0.7898,0.7825,0.079,,0,none,
228-22p@627-s8j-yd9,iGolf By Space,40.747613,-73.986874,Other Amusement and Recreation Industries,Golf Courses and Country Clubs,Manhattan,54,0.953,0.9724,-0.439,0.7778,0.8503,-0.937,,0,none,
