placekey,location_name,lat,lon,top_category,sub_category,borough,income_known_devices,income_mixing_score,expected_mixing_score,mixing_residual_z,balance_score,expected_balance_score,balance_residual_z,bootstrap_stability_pct,months_confirmed,evidence_tier,direction
224-223@627-s6c-p35,May May Restaurant,40.81544,-73.887243,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,67,0.7623,0.6634,1.293,0.5112,0.4443,0.801,,0,none,
225-223@627-s69-789,Wing Ling Village Chinese Restaurant,40.839326,-73.914524,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,71,0.523,0.659,-1.788,0.3169,0.4439,-1.523,,0,none,
22d-222@627-s8q-yjv,Subway,40.751349,-73.970798,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,54,0.9499,0.9473,0.121,0.7593,0.811,-0.657,,0,none,
22g-223@627-s6m-rc5,Chop Cheese Deli,40.849317,-73.936406,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,128,0.8655,0.8951,-0.699,0.6309,0.7137,-1.077,,0,none,
22n-222@627-wgt-vpv,La Gran Via Bakery,40.647666,-74.007997,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,88,0.9824,0.9308,1.464,0.8608,0.7858,1.12,,0,none,
23c-223@627-s8t-wkz,Ameer Gourmet Deli,40.689246,-73.936135,Specialty Food Stores,,Brooklyn,166,0.9719,0.9252,1.319,0.8614,0.7597,1.531,,0,none,
23m-228@627-rwt-d7q,El Paisano Pizza & Pasta,40.832226,-73.827802,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,184,0.9307,0.9472,-0.22,0.731,0.7879,-0.683,,0,none,
23r-226@627-sb2-f75,J.K. Deli & Grocery,40.729926,-73.815279,Specialty Food Stores,Meat Markets,Queens,233,0.9637,0.8866,1.666,0.8455,0.6847,2.332,,0,none,
zzw-223@627-s7z-y5f,Family Dollar Stores,40.671445,-73.857216,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Queens,130,0.9692,0.8728,2.086,0.8365,0.6846,2.205,,0,none,
zzw-223@627-wg9-89z,Original Pizza,40.637803,-73.896264,Restaurants and Other Eating Places,Full-Service Restaurants,Brooklyn,56,0.8671,0.9161,-1.457,0.6786,0.7467,-1.079,,0,none,
zzw-228@627-wc7-n5z,Farra,40.717045,-74.005694,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),Manhattan,136,0.9419,0.9707,-0.681,0.7555,0.8491,-1.223,,0,none,
22q-222@627-s4w-2rk,Shake Shack,40.806758,-73.942303,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,333,0.9195,0.945,-0.595,0.7005,0.8094,-1.43,,0,none,
222-222@627-vvv-2zf,Goethals Bridge,40.628389,-74.181332,"Museums, Historical Sites, and Similar Institutions",Historical Sites,Staten Island,800,0.941,0.9205,0.329,0.7609,0.7151,0.47,,0,none,
22g-222@627-s87-7qz,DII Deals & Discounts,40.692531,-73.861546,Used Merchandise Stores,Used Merchandise Stores,Queens,263,0.8873,0.8824,0.109,0.6587,0.6742,-0.205,,0,none,
22j-224@627-wg4-ghq,Lucky 99 Cents And Up,40.640693,-73.94831,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,302,0.9336,0.9337,-0.039,0.7897,0.7704,0.264,,0,none,
22m-225@627-s8h-xqz,7th Street Burger,40.741122,-73.981761,Restaurants and Other Eating Places,Limited-Service Restaurants,Manhattan,64,0.9433,0.951,-0.141,0.7578,0.8114,-0.681,,0,none,
22n-222@627-s7q-w8v,Hong Kong Chinese Restaurant,40.711009,-73.904884,Restaurants and Other Eating Places,Full-Service Restaurants,Queens,95,0.8667,0.8822,-0.333,0.6711,0.6824,-0.147,,0,none,
22n-223@627-s7w-xyv,Sf Supermarket,40.741557,-73.881924,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,90,0.7493,0.8794,-2.807,0.5139,0.6907,-2.529,,0,none,
22t-222@627-s6b-c89,McDonald's,40.844673,-73.915002,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,508,0.7833,0.7377,0.595,0.5453,0.5087,0.438,,0,none,
